Number,Name,Image Link,Type,Rarity,Set,Back Image Link,Traits,Intercept,Force,Green Energy,Yellow Energy,Red Energy,Rules Text,Flavor Text,Obtained Via,Description,ChamberFrontI,ChamberFrontF,ChamberFrontG,ChamberFrontY,ChamberFrontR,ChamberFrontRul,ChamberFrontFlav,ChamberBackI,ChamberBackF,ChamberBackG,ChamberBackY,ChamberBackR,ChamberBackRul,ChamberBackFlav
136,"Zhao's Guard, loyal firebenders",https://github.com/zolodio/Avatar-TCG-Database/raw/main/136.jpg,ally,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,dark,,,1,,,"Green → When you counterattack from Zhao's Guard's zone, eliminate Zhao's Guard and up to two green energy. Use only once per turn.",,"STRT001, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
137,"Cabbage Merchant, unfortunate bystander",https://github.com/zolodio/Avatar-TCG-Database/raw/main/137.jpg,ally,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,1,,,"When you counterattack from Cabbage Merchant's zone, you may eliminate Cabbage Merchant. If you do, add a green energy.","""My cabbages!""","STRT001, STRT002, STRT003, STRT004, STRT005, STRT006, STRT007, STRT008, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
138,"Canyon Guide, pathfinder",https://github.com/zolodio/Avatar-TCG-Database/raw/main/138.jpg,ally,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,,1,,"Whenever you flip a card in Canyon Guide's zone, your opponent turns the top card of his or her deck face up.","""The job's much more than bending, kid. Folks want information!""","STRT001, STRT002, STRT003, STRT004, STRT005, STRT006, STRT007, STRT008, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
139,"Gan Jin Tribe, children of Jin Wei",https://github.com/zolodio/Avatar-TCG-Database/raw/main/139.jpg,ally,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,2,,,"Green → In Gan Jin Tribe's zone, your strikes have +1 Intercept. Use only once per turn.","""Maybe you Zhangs wouldn't have so many sick people if you weren't such slobs!"".","STRT001, STRT002, STRT003, STRT004, STRT005, STRT006, STRT007, STRT008, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
140,"Herbalist, mad hermit",https://github.com/zolodio/Avatar-TCG-Database/raw/main/140.jpg,ally,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,,1,,"In Herbalist's zone, your strikes have ""Reflip: Green.""","""...You're insane, aren't you?"" ""That's riilight!""","STRT001, STRT002, STRT003, STRT004, STRT005, STRT006, STRT007, STRT008, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
141,"Zhang Tribe, children of Wei Jin",https://github.com/zolodio/Avatar-TCG-Database/raw/main/141.jpg,ally,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,2,,,"Green → In Zhang Tribe's zone, your strikes have +1 Force. Use only once per turn.","""If you Gan Jins weren't so clean, maybe you wouldn't live to be so old!""","STRT001, STRT002, STRT003, STRT004, STRT005, STRT006, STRT007, STRT008, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
142,Air Scooter,https://github.com/zolodio/Avatar-TCG-Database/raw/main/142.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,air,5,5,2,1,,"When you flip Air Scooter in a zone without an ally, you may move one of your allies to this zone.","First you form the ball, then you gotta get on-quick!","STRT001, STRT002, STRT006, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
143,Chi Absorption,https://github.com/zolodio/Avatar-TCG-Database/raw/main/143.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,air,8,1,,1,1,Move Chi Absorption down one zone → Add a yellow energy. (Use only while defending in your green or yellow zone.),"""Afiko helped Fire Lord Sozin conquer the Southern Air Temple, thus starting the War.""","STRT001, STRT002, STRT006, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
144,Dust Funnels,https://github.com/zolodio/Avatar-TCG-Database/raw/main/144.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,air,6,5,3,1,,Move Dust Funnels down one zone → Add two green energy. (Use only while defending in your green or yellow zone.),,"STRT001, STRT002, STRT006, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
145,Graceful Leap,https://github.com/zolodio/Avatar-TCG-Database/raw/main/145.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,air,4,2,,1,,Two Green → Move Graceful Leap up one zone. (Use only while defending in your yellow or red zone.),Afiko led a corps of Fire Nation soldiers who hunted down the remaining Airbenders.,"STRT001, STRT002, STRT006, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
146,Open-Palm Pushback,https://github.com/zolodio/Avatar-TCG-Database/raw/main/146.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,air,5,6,,1,1,Move Open-Palm Pushback to your red zone → Your opponent skips defending in his or her green zone. (Use only while defending in your green or yellow zone.),"""Villagers now pay tribute to Malu, who protected the forest nearly a century ago""","STRT001, STRT002, STRT006, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
147,Zoom!,https://github.com/zolodio/Avatar-TCG-Database/raw/main/147.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,air,4,6,1,,1,Two Green → Move Zoom! up one zone. (Use only while defending in your yellow or red zone.),"""The first rule of fighting an Airbender: Don't blink!""","STRT001, STRT002, STRT006, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
148,Boulder Smash,https://github.com/zolodio/Avatar-TCG-Database/raw/main/148.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,earth,5,5,2,1,,"Whenever your opponent focuses, Boulder Smash gets +1 Force.","Oh good heavens! That boulder's headed right for-oof!! -Mu Ki, Fire Nation Soldier","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
149,Choking Sand,https://github.com/zolodio/Avatar-TCG-Database/raw/main/149.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,earth,4,6,1,2,,"When your opponent counterattacks from a zone, eliminate an ally in that zone.",,"STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
150,Granite Block,https://github.com/zolodio/Avatar-TCG-Database/raw/main/150.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,earth,7,5,1,1,1,"When your opponent counterattacks from a zone, uncharge that zone.","""A girl has to know how to deflect unwanted attention.""","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
151,Ground Breaker,https://github.com/zolodio/Avatar-TCG-Database/raw/main/151.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,earth,6,2,1,1,1,"When your opponent counterattacks from a zone, uncharge that zone, eliminate an ally in that zone, and eliminate an energy in that zone.",,"STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
152,Quarry Crush,https://github.com/zolodio/Avatar-TCG-Database/raw/main/152.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,earth,3,5,,1,,"Reflip: Green | Whenever your opponent focuses, Quarry Crush gets +1 Force.","""You guys look hungry! How about a SANDWICH?""","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
153,Seismic Spring,https://github.com/zolodio/Avatar-TCG-Database/raw/main/153.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,earth,4,4,,,1,"When your opponent counterattacks from a zone, eliminate an energy in that zone.","""Hey, I'm just trying to make an honest living. Well... a living, anyway.""","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
154,Corona Punch,https://github.com/zolodio/Avatar-TCG-Database/raw/main/154.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fire,5,6,,2,1,"When you counterattack, you may eliminate a yellow energy. | Pitch → Eliminate a yellow energy.",A flame can slip through the slightest gap in your defenses.,"STRT001, STRT007, STRT008, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
155,Ember Shot,https://github.com/zolodio/Avatar-TCG-Database/raw/main/155.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fire,4,6,1,,1,"When you counterattack, charge this zone. | Pitch → Charge this zone.",,"STRT001, STRT007, STRT008, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
156,Fire Sweep,https://github.com/zolodio/Avatar-TCG-Database/raw/main/156.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fire,3,3,1,,,Pitch → Eliminate up to two green energy.,The only flame that puts <i>you</i> out.,"STRT001, STRT007, STRT008, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
157,Kindle,https://github.com/zolodio/Avatar-TCG-Database/raw/main/157.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fire,6,4,3,,,Pitch → Charge this zone.,Firebenders bring new meaning to the term 'warm-up exercises'.,"STRT001, STRT007, STRT008, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
158,Twin Fire Daggers,https://github.com/zolodio/Avatar-TCG-Database/raw/main/158.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fire,7,2,,2,,"Green, Pitch → Your opponent eliminates one of his or her allies.","Sometimes called 'dragon fangs', these compact flames are incredibly hot.","STRT001, STRT007, STRT008, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
159,Warship Barrage,https://github.com/zolodio/Avatar-TCG-Database/raw/main/159.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fire,4,4,3,,,"When you counterattack, your opponent eliminates one of his or her allies. | Green, Pitch → Your opponent eliminates one of his or her allies.",,"STRT001, STRT007, STRT008, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
160,Bubble Burst,https://github.com/zolodio/Avatar-TCG-Database/raw/main/160.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,water,4,4,,,1,-1 Intercept → +1 Force.,Bet you thought you were winning this one Sokka,"STRT001, STRT003, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
161,Clutches of the Deep,https://github.com/zolodio/Avatar-TCG-Database/raw/main/161.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,water,9,0,2,,1,-1 Intercept → +1 Force.,"""Come back here! No one ignores me!""","STRT001, STRT003, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
162,Flash Flood,https://github.com/zolodio/Avatar-TCG-Database/raw/main/162.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,water,5,4,2,,1,"When you counterattack from a charged zone, you may charge any zone.","When you're a Waterbender, it's always high tide.","STRT001, STRT003, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
163,Ice Blooms,https://github.com/zolodio/Avatar-TCG-Database/raw/main/163.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,water,6,4,2,1,,"Red → When you counterattack, charge any zone. Use only once.","When Katara says, ""Freeze!"" she means it.","STRT001, STRT003, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
164,Single Water Whip,https://github.com/zolodio/Avatar-TCG-Database/raw/main/164.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,water,5,5,2,1,,"Uncharge this zone → When you counterattack, charge any zone.",,"STRT001, STRT003, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
165,Tidal Wave,https://github.com/zolodio/Avatar-TCG-Database/raw/main/165.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,water,6,7,1,2,1,"-3 Intercept → When you counterattack, charge any zone. Use only once.","""Look on the bright side, Zuko. At least no one will have to swab the deck!""","STRT001, STRT003, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
166,The Avatar Awakens,https://github.com/zolodio/Avatar-TCG-Database/raw/main/166.jpg,strike,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,8,8,,,3,Exclusive — Aang,,"BSTR001, BSTR002, BSTR003, BSTR004","The Avatar Awakens is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
167,"Sokka, big brother",https://github.com/zolodio/Avatar-TCG-Database/raw/main/167.jpg,ally,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,1,,,"Exclusive — Katara | Uncharge Sokka's zone → If you have a strike in Sokka's zone, choose one: That strike gets +1 Intercept; or that strike gets +1 Force. Use only once per turn.",,"BSTR001, BSTR002, BSTR003, BSTR004","Sokka, big brother is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
168,"Flopsie, Bumi's pet",https://github.com/zolodio/Avatar-TCG-Database/raw/main/168.jpg,ally,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,1,,1,"Exclusive — King Bumi | In Flopsie's zone, your strikes have -1 Intercept and +2 Force.",,"BSTR001, BSTR002, BSTR003, BSTR004","Flopsie, Bumi's pet is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
169,The Kissing Bandit,https://github.com/zolodio/Avatar-TCG-Database/raw/main/169.jpg,advantage,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,1,1,,"Exclusive — Jojo | When you counterattack from a zone, add an energy to that zone and eliminate one of your opponent's energy of the same color.",,"BSTR001, BSTR002, BSTR003, BSTR004","The Kissing Bandit is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
170,Strata Breaker,https://github.com/zolodio/Avatar-TCG-Database/raw/main/170.jpg,strike,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,3,3,1,,,Exclusive — Malu | Your opponent skips defending in his or her green and yellow zones.,,"BSTR001, BSTR002, BSTR003, BSTR004","Strata Breaker is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
171,Tail of the Comet,https://github.com/zolodio/Avatar-TCG-Database/raw/main/171.jpg,strike,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,5,5,1,1,1,"Exclusive — Prince Zuko | When you counterattack, you may eliminate an energy.",,"BSTR001, BSTR002, BSTR003, BSTR004","Tail of the Comet is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
172,Shocking Revelation,https://github.com/zolodio/Avatar-TCG-Database/raw/main/172.jpg,strike,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,5,4,1,1,,Exclusive — Uncle Iroh | Pitch → Look at the top three cards of your deck. Put one on the top of your deck and the rest into your discard pile.,,"BSTR001, BSTR002, BSTR003, BSTR004","Shocking Revelation is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
173,Hollow Soul Hurricane,https://github.com/zolodio/Avatar-TCG-Database/raw/main/173.jpg,strike,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,4,4,3,,,Exclusive — Afiko | Turn your Chamber Card from the back to the front → +3 Intercept and +3 Force.,,"BSTR001, BSTR002, BSTR003, BSTR004","Hollow Soul Hurricane is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
174,Maw of the Inferno,https://github.com/zolodio/Avatar-TCG-Database/raw/main/174.jpg,strike,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,6,5,1,1,1,"Exclusive — Commander Zhao | When you counterattack, you may eliminate an ally.",,"BSTR001, BSTR002, BSTR003, BSTR004","Maw of the Inferno is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
175,Aquatic Tendrils,https://github.com/zolodio/Avatar-TCG-Database/raw/main/175.jpg,advantage,Zenemental,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,,,1,Exclusive — Kinto | Your opponent's strikes cost an additional red energy to play.,,"BSTR001, BSTR002, BSTR003, BSTR004","Aquatic Tendrils is a Zenemental card, very hard to aquire. Zenemental cards could only be obtained through various boosters.",,,,,,,,,,,,,,
176,Aang,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME176a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME176b.jpg,"fox, spirit, light, air",,,,,,,,"STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004",,5,7,1,,,"Penguin Sledding: Whenever your opponent focuses, Penguin Sledding gets -1 Force.",,9,9,,,,"Taming the Unagi: Whenever your opponent focuses, Taming the Unagi gets -2 Force",
177,Aang,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME177a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME177b.jpg,"fox, spirit, light, air",,,,,,,,"STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004",,5,7,1,,,"Penguin Sledding: Whenever your opponent focuses, Penguin Sledding gets -1 Force.",,9,9,,,,"Taming the Unagi: Whenever your opponent focuses, Taming the Unagi gets -2 Force",
178,Aang,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME178a.jpg,chamber,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME178b.jpg,"fox, spirit, light, air",,,,,,,,"STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004",,5,7,1,,,"Penguin Sledding: Whenever your opponent focuses, Penguin Sledding gets -1 Force.",,6,6,,,,"Vertigo Dash: When you counterattack, add an energy to each of your zones.",
179,Aang,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME179a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME179b.jpg,"fox, spirit, light, air",,,,,,,,"STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004",,6,4,,,,"Updraft: When you counterattack, you may rearrange your allies. (You can only have one ally in each of your zones.)",,9,9,,,,"Taming the Unagi: Whenever your opponent focuses, Taming the Unagi gets -2 Force",
180,Aang,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME180a.jpg,chamber,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME180b.jpg,"fox, spirit, light, air",,,,,,,,"STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004",,6,4,,,,"Updraft: When you counterattack, you may rearrange your allies. (You can only have one ally in each of your zones.)",,6,6,,,,"Vertigo Dash: When you counterattack, add an energy to each of your zones.",
181,Aang,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME181a.jpg,chamber,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME181b.jpg,"fox, spirit, light, air",,,,,,,,"STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004",,6,4,,,,"Updraft: When you counterattack, you may rearrange your allies. (You can only have one ally in each of your zones.)",,12,12,,,5,"Avatar State: When you counteratack, eliminate all of your energy.",
182,Katara,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME182a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME182b.jpg,"lion, mind, light, water",,,,,,,,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,6,4,1,,,"Arctic Sheath: When you counterattack, charge your yellow zone.",,7,7,,,,"Whirlpool: When you counterattack, charge your yellow zone.",
183,Katara,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME183a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME183b.jpg,"lion, mind, light, water",,,,,,,,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,6,4,1,,,"Arctic Sheath: When you counterattack, charge your yellow zone. ",,7,7,,,,"Whirlpool: When you counterattack, charge your yellow zone.",
184,Katara,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME184a.jpg,chamber,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME184b.jpg,"lion, mind, light, water",,,,,,,,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,6,4,1,,,"Arctic Sheath: When you counterattack, charge your yellow zone. ",,6,6,1,,,"Geyser Torpedo: When you counter attack, add two red energy.",
185,Katara,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME185a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME185b.jpg,"lion, mind, light, water",,,,,,,,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,5,2,,,,"Parting Shot: When you counterattack, add a red energy.",,7,7,,,,"Whirlpool: When you counterattack, charge your yellow zone.",
186,Katara,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME186a.jpg,chamber,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME186b.jpg,"lion, mind, light, water",,,,,,,,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,5,2,,,,"Parting Shot: When you counterattack, add a red energy.",,6,6,1,,,Geyser Torpedo: Green cost. Intercept 6.,
187,Katara,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME187a.jpg,chamber,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME187b.jpg,"lion, mind, light, water",,,,,,,,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,5,2,,,,"Parting Shot: When you counterattack, add a red energy.",,6,7,,,,"Double Water Whip: Green → When you counterattack, each player charges one of his or her zones.",
188,King Bumi,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME188a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME188b.jpg,"bull, body, light, earth",,,,,,,,"STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,6,5,1,,,"Omashu Dodgeball: Whenever your opponent focuses, Omashu Dodgeball gets +1 Force.",,7,7,,,,"Stone Heel of the King: Whenever your opponent focuses, Stone Heel of the King gets +1 Force.",
189,King Bumi,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME189a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME189b.jpg,"bull, body, light, earth",,,,,,,,"STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,6,5,1,,,"Omashu Dodgeball: Whenever your opponent focuses, Omashu Dodgeball gets +1 Force.",,7,7,,,,"Stone Heel of the King: Whenever your opponent focuses, Stone Heel of the King gets +1 Force.",
190,King Bumi,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME190a.jpg,chamber,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME190b.jpg,"bull, body, light, earth",,,,,,,,"STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,6,5,1,,,"Omashu Dodgeball: Whenever your opponent focuses, Omashu Dodgeball gets +1 Force.",,6,8,1,,,Scouring-Earth Kick: Green cost. Intercept 6.,
191,King Bumi,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME191a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME191b.jpg,"bull, body, light, earth",,,,,,,,"STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,5,8,2,,,"Shadow of the Boulder: Your opponent's strikes have ""Green → +1 Intercept.""",,7,7,,,,"Stone Heel of the King: Whenever your opponent focuses, Stone Heel of the King gets +1 Force.",
192,King Bumi,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME192a.jpg,chamber,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME192b.jpg,"bull, body, light, earth",,,,,,,,"STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,5,8,2,,,"Shadow of the Boulder: Your opponent's strikes have ""Green → +1 Intercept.""",,6,8,1,,,Scouring-Earth Kick: Your opponent's cards have 'Reflip: Green.',
193,King Bumi,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME193a.jpg,chamber,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME193b.jpg,"bull, body, light, earth",,,,,,,,"STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,5,8,2,,,"Shadow of the Boulder: Your opponent's strikes have ""Green → +1 Intercept.""",,6,6,,1,,"Shock Wave: Whenever your opponent plays a card in a zone, eliminate  an energy in that zone.",
194,Jojo,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME194a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME194b.jpg,"fox, spirit, shadow, earth",,,,,,,,"STRT001, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,6,2,,,,"Bucking Earth: When you counterattack, you may move an ally to the top of its owner's deck.",,6,6,,,,"Rockslide: Yellow → When you couunterattack, move an ally to the top of its owner's deck.",
195,Jojo,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME195a.jpg,chamber,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME195b.jpg,"fox, spirit, shadow, earth",,,,,,,,"STRT001, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,6,2,,,,"Bucking Earth: When you counterattack, you may move an ally to the top of its owner's deck.",,6,6,,,,"Rockslide: Yellow → When you couunterattack, move an ally to the top of its owner's deck.",
196,Jojo,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME196a.jpg,chamber,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/AME196b.jpg,"fox, spirit, shadow, earth",,,,,,,,"STRT001, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,6,2,,,,"Bucking Earth: When you counterattack, you may move an ally to the top of its owner's deck.",,5,7,,1,,"Massive Meteor: When you counterattack, eliminate one of your opponent's energy and you add a red energy.",
